year,Industry,Value
Mar-97,"Agriculture, forestry & fishing",464000
Jun-97,"Agriculture, forestry & fishing",499000
Sep-97,"Agriculture, forestry & fishing",516000
Dec-97,"Agriculture, forestry & fishing",480000
Mar-98,"Agriculture, forestry & fishing",468000
Jun-98,"Agriculture, forestry & fishing",476000
Sep-98,"Agriculture, forestry & fishing",463000
Dec-98,"Agriculture, forestry & fishing",424000
Mar-99,"Agriculture, forestry & fishing",422000
Jun-99,"Agriculture, forestry & fishing",425000
Sep-99,"Agriculture, forestry & fishing",436000
Dec-99,"Agriculture, forestry & fishing",400000
Mar-00,"Agriculture, forestry & fishing",390000
Jun-00,"Agriculture, forestry & fishing",399000
Sep-00,"Agriculture, forestry & fishing",399000
Dec-00,"Agriculture, forestry & fishing",376000
Mar-01,"Agriculture, forestry & fishing",356000
Jun-01,"Agriculture, forestry & fishing",361000
Sep-01,"Agriculture, forestry & fishing",371000
Dec-01,"Agriculture, forestry & fishing",363000
Mar-02,"Agriculture, forestry & fishing",368000
Jun-02,"Agriculture, forestry & fishing",363000
Sep-02,"Agriculture, forestry & fishing",354000
Dec-02,"Agriculture, forestry & fishing",336000
Mar-03,"Agriculture, forestry & fishing",337000
Jun-03,"Agriculture, forestry & fishing",347000
Sep-03,"Agriculture, forestry & fishing",371000
Dec-03,"Agriculture, forestry & fishing",371000
Mar-04,"Agriculture, forestry & fishing",356000
Jun-04,"Agriculture, forestry & fishing",356000
Sep-04,"Agriculture, forestry & fishing",373000
Dec-04,"Agriculture, forestry & fishing",374000
Mar-05,"Agriculture, forestry & fishing",396000
Jun-05,"Agriculture, forestry & fishing",387000
Sep-05,"Agriculture, forestry & fishing",386000
Dec-05,"Agriculture, forestry & fishing",386000
Mar-06,"Agriculture, forestry & fishing",373000
Jun-06,"Agriculture, forestry & fishing",379000
Sep-06,"Agriculture, forestry & fishing",378000
Dec-06,"Agriculture, forestry & fishing",387000
Mar-07,"Agriculture, forestry & fishing",375000
Jun-07,"Agriculture, forestry & fishing",374000
Sep-07,"Agriculture, forestry & fishing",381000
Dec-07,"Agriculture, forestry & fishing",376000
Mar-08,"Agriculture, forestry & fishing",386000
Jun-08,"Agriculture, forestry & fishing",399000
Sep-08,"Agriculture, forestry & fishing",392000
Dec-08,"Agriculture, forestry & fishing",388000
Mar-09,"Agriculture, forestry & fishing",383000
Jun-09,"Agriculture, forestry & fishing",388000
Sep-09,"Agriculture, forestry & fishing",401000
Dec-09,"Agriculture, forestry & fishing",381000
Mar-10,"Agriculture, forestry & fishing",397000
Jun-10,"Agriculture, forestry & fishing",418000
Sep-10,"Agriculture, forestry & fishing",412000
Dec-10,"Agriculture, forestry & fishing",439000
Mar-11,"Agriculture, forestry & fishing",402000
Jun-11,"Agriculture, forestry & fishing",403000
Sep-11,"Agriculture, forestry & fishing",436000
Dec-11,"Agriculture, forestry & fishing",434000
Mar-12,"Agriculture, forestry & fishing",428000
Jun-12,"Agriculture, forestry & fishing",425000
Sep-12,"Agriculture, forestry & fishing",406000
Dec-12,"Agriculture, forestry & fishing",380000
Mar-13,"Agriculture, forestry & fishing",372000
Jun-13,"Agriculture, forestry & fishing",379000
Sep-13,"Agriculture, forestry & fishing",375000
Dec-13,"Agriculture, forestry & fishing",414000
Mar-14,"Agriculture, forestry & fishing",447000
Jun-14,"Agriculture, forestry & fishing",436000
Sep-14,"Agriculture, forestry & fishing",444000
Dec-14,"Agriculture, forestry & fishing",420000
Mar-15,"Agriculture, forestry & fishing",391000
Jun-15,"Agriculture, forestry & fishing",387000
Sep-15,"Agriculture, forestry & fishing",428000
Dec-15,"Agriculture, forestry & fishing",417000
Mar-16,"Agriculture, forestry & fishing",402000
Jun-16,"Agriculture, forestry & fishing",383000
Sep-16,"Agriculture, forestry & fishing",404000
Dec-16,"Agriculture, forestry & fishing",414000
Mar-17,"Agriculture, forestry & fishing",420000
Jun-17,"Agriculture, forestry & fishing",405000
Sep-17,"Agriculture, forestry & fishing",417000
Dec-17,"Agriculture, forestry & fishing",420000
Mar-18,"Agriculture, forestry & fishing",412000
Jun-18,"Agriculture, forestry & fishing",407000
Sep-18,"Agriculture, forestry & fishing",412000
Dec-18,"Agriculture, forestry & fishing",381000
Mar-19,"Agriculture, forestry & fishing",387000
Jun-19,"Agriculture, forestry & fishing",398000
Sep-19,"Agriculture, forestry & fishing",405000
Dec-19,"Agriculture, forestry & fishing",407000
Mar-20,"Agriculture, forestry & fishing",381000
Jun-20,"Agriculture, forestry & fishing",375000
Sep-20,"Agriculture, forestry & fishing",415000
Dec-20,"Agriculture, forestry & fishing",370000
Mar-21,"Agriculture, forestry & fishing",368000
Jun-21,"Agriculture, forestry & fishing",358000
Sep-21,"Agriculture, forestry & fishing",367000
Dec-21,"Agriculture, forestry & fishing",343000
Mar-97,Mining & quarrying,81000
Jun-97,Mining & quarrying,81000
Sep-97,Mining & quarrying,79000
Dec-97,Mining & quarrying,78000
Mar-98,Mining & quarrying,78000
Jun-98,Mining & quarrying,76000
Sep-98,Mining & quarrying,76000
Dec-98,Mining & quarrying,78000
Mar-99,Mining & quarrying,77000
Jun-99,Mining & quarrying,76000
Sep-99,Mining & quarrying,76000
Dec-99,Mining & quarrying,75000
Mar-00,Mining & quarrying,76000
Jun-00,Mining & quarrying,78000
Sep-00,Mining & quarrying,76000
Dec-00,Mining & quarrying,75000
Mar-01,Mining & quarrying,76000
Jun-01,Mining & quarrying,75000
Sep-01,Mining & quarrying,76000
Dec-01,Mining & quarrying,74000
Mar-02,Mining & quarrying,74000
Jun-02,Mining & quarrying,70000
Sep-02,Mining & quarrying,67000
Dec-02,Mining & quarrying,64000
Mar-03,Mining & quarrying,63000
Jun-03,Mining & quarrying,61000
Sep-03,Mining & quarrying,61000
Dec-03,Mining & quarrying,60000
Mar-04,Mining & quarrying,57000
Jun-04,Mining & quarrying,58000
Sep-04,Mining & quarrying,62000
Dec-04,Mining & quarrying,59000
Mar-05,Mining & quarrying,58000
Jun-05,Mining & quarrying,59000
Sep-05,Mining & quarrying,60000
Dec-05,Mining & quarrying,61000
Mar-06,Mining & quarrying,58000
Jun-06,Mining & quarrying,63000
Sep-06,Mining & quarrying,69000
Dec-06,Mining & quarrying,66000
Mar-07,Mining & quarrying,66000
Jun-07,Mining & quarrying,69000
Sep-07,Mining & quarrying,70000
Dec-07,Mining & quarrying,67000
Mar-08,Mining & quarrying,67000
Jun-08,Mining & quarrying,67000
Sep-08,Mining & quarrying,66000
Dec-08,Mining & quarrying,59000
Mar-09,Mining & quarrying,66000
Jun-09,Mining & quarrying,61000
Sep-09,Mining & quarrying,64000
Dec-09,Mining & quarrying,62000
Mar-10,Mining & quarrying,61000
Jun-10,Mining & quarrying,61000
Sep-10,Mining & quarrying,65000
Dec-10,Mining & quarrying,64000
Mar-11,Mining & quarrying,62000
Jun-11,Mining & quarrying,61000
Sep-11,Mining & quarrying,65000
Dec-11,Mining & quarrying,67000
Mar-12,Mining & quarrying,73000
Jun-12,Mining & quarrying,78000
Sep-12,Mining & quarrying,78000
Dec-12,Mining & quarrying,72000
Mar-13,Mining & quarrying,71000
Jun-13,Mining & quarrying,69000
Sep-13,Mining & quarrying,68000
Dec-13,Mining & quarrying,71000
Mar-14,Mining & quarrying,67000
Jun-14,Mining & quarrying,66000
Sep-14,Mining & quarrying,68000
Dec-14,Mining & quarrying,69000
Mar-15,Mining & quarrying,75000
Jun-15,Mining & quarrying,74000
Sep-15,Mining & quarrying,67000
Dec-15,Mining & quarrying,65000
Mar-16,Mining & quarrying,64000
Jun-16,Mining & quarrying,62000
Sep-16,Mining & quarrying,62000
Dec-16,Mining & quarrying,60000
Mar-17,Mining & quarrying,57000
Jun-17,Mining & quarrying,59000
Sep-17,Mining & quarrying,57000
Dec-17,Mining & quarrying,59000
Mar-18,Mining & quarrying,62000
Jun-18,Mining & quarrying,63000
Sep-18,Mining & quarrying,61000
Dec-18,Mining & quarrying,59000
Mar-19,Mining & quarrying,62000
Jun-19,Mining & quarrying,61000
Sep-19,Mining & quarrying,61000
Dec-19,Mining & quarrying,62000
Mar-20,Mining & quarrying,68000
Jun-20,Mining & quarrying,61000
Sep-20,Mining & quarrying,54000
Dec-20,Mining & quarrying,55000
Mar-21,Mining & quarrying,58000
Jun-21,Mining & quarrying,60000
Sep-21,Mining & quarrying,60000
Dec-21,Mining & quarrying,57000
Mar-97,Manufacturing,4249000
Jun-97,Manufacturing,4280000
Sep-97,Manufacturing,4284000
Dec-97,Manufacturing,4309000
Mar-98,Manufacturing,4303000
Jun-98,Manufacturing,4295000
Sep-98,Manufacturing,4303000
Dec-98,Manufacturing,4238000
Mar-99,Manufacturing,4163000
Jun-99,Manufacturing,4124000
Sep-99,Manufacturing,4108000
Dec-99,Manufacturing,4089000
Mar-00,Manufacturing,4043000
Jun-00,Manufacturing,4000000
Sep-00,Manufacturing,3966000
Dec-00,Manufacturing,3906000
Mar-01,Manufacturing,3875000
Jun-01,Manufacturing,3830000
Sep-01,Manufacturing,3780000
Dec-01,Manufacturing,3727000
Mar-02,Manufacturing,3673000
Jun-02,Manufacturing,3635000
Sep-02,Manufacturing,3588000
Dec-02,Manufacturing,3536000
Mar-03,Manufacturing,3495000
Jun-03,Manufacturing,3437000
Sep-03,Manufacturing,3408000
Dec-03,Manufacturing,3354000
Mar-04,Manufacturing,3313000
Jun-04,Manufacturing,3289000
Sep-04,Manufacturing,3241000
Dec-04,Manufacturing,3206000
Mar-05,Manufacturing,3172000
Jun-05,Manufacturing,3120000
Sep-05,Manufacturing,3102000
Dec-05,Manufacturing,3085000
Mar-06,Manufacturing,3040000
Jun-06,Manufacturing,3024000
Sep-06,Manufacturing,3021000
Dec-06,Manufacturing,2999000
Mar-07,Manufacturing,2985000
Jun-07,Manufacturing,2984000
Sep-07,Manufacturing,2976000
Dec-07,Manufacturing,2931000
Mar-08,Manufacturing,2905000
Jun-08,Manufacturing,2883000
Sep-08,Manufacturing,2851000
Dec-08,Manufacturing,2694000
Mar-09,Manufacturing,2686000
Jun-09,Manufacturing,2657000
Sep-09,Manufacturing,2642000
Dec-09,Manufacturing,2621000
Mar-10,Manufacturing,2570000
Jun-10,Manufacturing,2570000
Sep-10,Manufacturing,2568000
Dec-10,Manufacturing,2566000
Mar-11,Manufacturing,2560000
Jun-11,Manufacturing,2564000
Sep-11,Manufacturing,2569000
Dec-11,Manufacturing,2538000
Mar-12,Manufacturing,2579000
Jun-12,Manufacturing,2603000
Sep-12,Manufacturing,2589000
Dec-12,Manufacturing,2546000
Mar-13,Manufacturing,2546000
Jun-13,Manufacturing,2560000
Sep-13,Manufacturing,2578000
Dec-13,Manufacturing,2574000
Mar-14,Manufacturing,2581000
Jun-14,Manufacturing,2620000
Sep-14,Manufacturing,2643000
Dec-14,Manufacturing,2628000
Mar-15,Manufacturing,2650000
Jun-15,Manufacturing,2641000
Sep-15,Manufacturing,2623000
Dec-15,Manufacturing,2623000
Mar-16,Manufacturing,2637000
Jun-16,Manufacturing,2655000
Sep-16,Manufacturing,2628000
Dec-16,Manufacturing,2630000
Mar-17,Manufacturing,2650000
Jun-17,Manufacturing,2681000
Sep-17,Manufacturing,2694000
Dec-17,Manufacturing,2696000
Mar-18,Manufacturing,2697000
Jun-18,Manufacturing,2717000
Sep-18,Manufacturing,2701000
Dec-18,Manufacturing,2680000
Mar-19,Manufacturing,2704000
Jun-19,Manufacturing,2692000
Sep-19,Manufacturing,2693000
Dec-19,Manufacturing,2673000
Mar-20,Manufacturing,2680000
Jun-20,Manufacturing,2623000
Sep-20,Manufacturing,2569000
Dec-20,Manufacturing,2554000
Mar-21,Manufacturing,2533000
Jun-21,Manufacturing,2545000
Sep-21,Manufacturing,2532000
Dec-21,Manufacturing,2544000
Mar-97,"Electricity, gas, steam & air conditioning supply ",108000
Jun-97,"Electricity, gas, steam & air conditioning supply ",108000
Sep-97,"Electricity, gas, steam & air conditioning supply ",106000
Dec-97,"Electricity, gas, steam & air conditioning supply ",106000
Mar-98,"Electricity, gas, steam & air conditioning supply ",106000
Jun-98,"Electricity, gas, steam & air conditioning supply ",105000
Sep-98,"Electricity, gas, steam & air conditioning supply ",105000
Dec-98,"Electricity, gas, steam & air conditioning supply ",104000
Mar-99,"Electricity, gas, steam & air conditioning supply ",102000
Jun-99,"Electricity, gas, steam & air conditioning supply ",102000
Sep-99,"Electricity, gas, steam & air conditioning supply ",99000
Dec-99,"Electricity, gas, steam & air conditioning supply ",96000
Mar-00,"Electricity, gas, steam & air conditioning supply ",96000
Jun-00,"Electricity, gas, steam & air conditioning supply ",95000
Sep-00,"Electricity, gas, steam & air conditioning supply ",95000
Dec-00,"Electricity, gas, steam & air conditioning supply ",99000
Mar-01,"Electricity, gas, steam & air conditioning supply ",100000
Jun-01,"Electricity, gas, steam & air conditioning supply ",102000
Sep-01,"Electricity, gas, steam & air conditioning supply ",102000
Dec-01,"Electricity, gas, steam & air conditioning supply ",102000
Mar-02,"Electricity, gas, steam & air conditioning supply ",102000
Jun-02,"Electricity, gas, steam & air conditioning supply ",100000
Sep-02,"Electricity, gas, steam & air conditioning supply ",96000
Dec-02,"Electricity, gas, steam & air conditioning supply ",94000
Mar-03,"Electricity, gas, steam & air conditioning supply ",92000
Jun-03,"Electricity, gas, steam & air conditioning supply ",93000
Sep-03,"Electricity, gas, steam & air conditioning supply ",92000
Dec-03,"Electricity, gas, steam & air conditioning supply ",90000
Mar-04,"Electricity, gas, steam & air conditioning supply ",88000
Jun-04,"Electricity, gas, steam & air conditioning supply ",83000
Sep-04,"Electricity, gas, steam & air conditioning supply ",80000
Dec-04,"Electricity, gas, steam & air conditioning supply ",77000
Mar-05,"Electricity, gas, steam & air conditioning supply ",75000
Jun-05,"Electricity, gas, steam & air conditioning supply ",73000
Sep-05,"Electricity, gas, steam & air conditioning supply ",75000
Dec-05,"Electricity, gas, steam & air conditioning supply ",73000
Mar-06,"Electricity, gas, steam & air conditioning supply ",73000
Jun-06,"Electricity, gas, steam & air conditioning supply ",77000
Sep-06,"Electricity, gas, steam & air conditioning supply ",79000
Dec-06,"Electricity, gas, steam & air conditioning supply ",83000
Mar-07,"Electricity, gas, steam & air conditioning supply ",85000
Jun-07,"Electricity, gas, steam & air conditioning supply ",85000
Sep-07,"Electricity, gas, steam & air conditioning supply ",88000
Dec-07,"Electricity, gas, steam & air conditioning supply ",85000
Mar-08,"Electricity, gas, steam & air conditioning supply ",86000
Jun-08,"Electricity, gas, steam & air conditioning supply ",86000
Sep-08,"Electricity, gas, steam & air conditioning supply ",86000
Dec-08,"Electricity, gas, steam & air conditioning supply ",92000
Mar-09,"Electricity, gas, steam & air conditioning supply ",103000
Jun-09,"Electricity, gas, steam & air conditioning supply ",108000
Sep-09,"Electricity, gas, steam & air conditioning supply ",118000
Dec-09,"Electricity, gas, steam & air conditioning supply ",114000
Mar-10,"Electricity, gas, steam & air conditioning supply ",130000
Jun-10,"Electricity, gas, steam & air conditioning supply ",134000
Sep-10,"Electricity, gas, steam & air conditioning supply ",122000
Dec-10,"Electricity, gas, steam & air conditioning supply ",121000
Mar-11,"Electricity, gas, steam & air conditioning supply ",131000
